Participant,List_Number,Sentence_Text,Item_ID,Model,Source_Lang,Condition,Naturalness,Likelihood,Changes
R_9J9FytFeHgBtWvt,1,Kal FF chahiye to aaj pay kar dena.,,Human,N/A,Human_Ref,1,1.0,Don’t know what FF stands for
R_4DpdM0YPqPB1YQL,1,Kal FF chahiye to aaj pay kar dena.,,Human,N/A,Human_Ref,3,1.0,
R_9J9FytFeHgBtWvt,1,`abe teri tareef kiya ki tu musical instrument achche bajata hai,,Human,N/A,Human_Ref,3,2.0,Kiya to ki
R_4DpdM0YPqPB1YQL,1,`abe teri tareef kiya ki tu musical instrument achche bajata hai,,Human,N/A,Human_Ref,2,2.0,"apki tareef ki, ki aap musical intrument acche bajate ho"
R_9J9FytFeHgBtWvt,1,`tu apne manifesto ki chinta kar�,,Human,N/A,Human_Ref,4,3.0,I wouldn’t use the word manifesto
R_4DpdM0YPqPB1YQL,1,`tu apne manifesto ki chinta kar�,,Human,N/A,Human_Ref,5,3.0,
R_9J9FytFeHgBtWvt,1,"`chunki maana jaata hai ki woh gareebon ke paax mein bolte hain, isliye unki aawaz zyada suni jaati hai.",1.0,Gemma,Hindi,Baseline,4,3.0,
R_4DpdM0YPqPB1YQL,1,"`chunki maana jaata hai ki woh gareebon ke paax mein bolte hain, isliye unki aawaz zyada suni jaati hai.",1.0,Gemma,Hindi,Baseline,4,2.0,
R_9J9FytFeHgBtWvt,1,`Rajinder Singh Bedi kaafi-kaafi ghanta Vira ji ke sirahaane aakar baithte rahte aur Vira ji ke saath unki bimari ke vishay mein vinood karte rahte.,28.0,Gemma,Hindi,Baseline,3,2.0,Would not use the word vinood
R_4DpdM0YPqPB1YQL,1,`Rajinder Singh Bedi kaafi-kaafi ghanta Vira ji ke sirahaane aakar baithte rahte aur Vira ji ke saath unki bimari ke vishay mein vinood karte rahte.,28.0,Gemma,Hindi,Baseline,2,1.0,
R_9J9FytFeHgBtWvt,1,`iskee madhyam se membership ka pratisthan tatha samaaj ka bhoothik anurakshan jaise hota hai.,17.0,Gemma,Hindi,Baseline,1,1.0,I do not understand it
R_4DpdM0YPqPB1YQL,1,`iskee madhyam se membership ka pratisthan tatha samaaj ka bhoothik anurakshan jaise hota hai.,17.0,Gemma,Hindi,Baseline,1,1.0,
R_9J9FytFeHgBtWvt,1,`bachchon se poochho apne bade logo se paas ke gaon ya shehar ke naam.,26.0,Gemma,English,Baseline,1,1.0,It does not make sense to me
R_4DpdM0YPqPB1YQL,1,`bachchon se poochho apne bade logo se paas ke gaon ya shehar ke naam.,26.0,Gemma,English,Baseline,1,1.0,bachchon se poochho ke bade logo se paas ke shehar ya gaon ka naam pooche
R_9J9FytFeHgBtWvt,1,"`Moreover, he also gave Gandhi the permission to conduct the inquiry.",11.0,Gemma,English,Baseline,5,5.0,
R_4DpdM0YPqPB1YQL,1,"`Moreover, he also gave Gandhi the permission to conduct the inquiry.",11.0,Gemma,English,Baseline,4,3.0,"Moreover, he gave Gandhi the permission to conduct the inquiry"
R_9J9FytFeHgBtWvt,1,"`through it, membership is replaced aur society ka physical maintenance ho jata hai.",17.0,Gemma,English,Baseline,1,1.0,Don’t understand
R_4DpdM0YPqPB1YQL,1,"`through it, membership is replaced aur society ka physical maintenance ho jata hai.",17.0,Gemma,English,Baseline,1,1.0,
R_9J9FytFeHgBtWvt,1,`lekin sab logon ko abhi ye baat junchi nahi ki ekta ka matlab sirf rajneetik ekta nahi hai.,2.0,Gemma,Hindi,ECT,5,4.0,
R_4DpdM0YPqPB1YQL,1,`lekin sab logon ko abhi ye baat junchi nahi ki ekta ka matlab sirf rajneetik ekta nahi hai.,2.0,Gemma,Hindi,ECT,3,1.0,lekin sab logon ko abhi ye baat janchti nahi ki ekta ka matlab sirf rajneetik ekta nahi hai
R_9J9FytFeHgBtWvt,1,`karmachari ke contract ki sammti par uski sevaan radd kar di gai.,8.0,Gemma,Hindi,ECT,3,3.0,
R_4DpdM0YPqPB1YQL,1,`karmachari ke contract ki sammti par uski sevaan radd kar di gai.,8.0,Gemma,Hindi,ECT,2,1.0,karmachari ke contract ki samapti par uski sevaan radd kar di gai
R_9J9FytFeHgBtWvt,1,"`Bharat ka Bangla Desh ki seema mein 17,000 ekadere kshetrafal vale 111 parikshetron par daava hai.",27.0,Gemma,Hindi,ECT,1,1.0,The units are strange to me
R_4DpdM0YPqPB1YQL,1,"`Bharat ka Bangla Desh ki seema mein 17,000 ekadere kshetrafal vale 111 parikshetron par daava hai.",27.0,Gemma,Hindi,ECT,1,1.0,
R_9J9FytFeHgBtWvt,1,`the employee ka services contract ke khatam hone ke baad terminated ho gaye.,8.0,Gemma,English,ECT,1,1.0,Syntax feels strange
R_4DpdM0YPqPB1YQL,1,`the employee ka services contract ke khatam hone ke baad terminated ho gaye.,8.0,Gemma,English,ECT,3,3.0,"employee ka services contract khatam hone ke baad, terminate ho gaya"
R_9J9FytFeHgBtWvt,1,`if hum ab qurbani karenge toh hamare bhavishya ke pitaa-pootra faida uthayege.,15.0,Gemma,English,ECT,3,3.0,Would change pitaa pootra to bacchai
R_4DpdM0YPqPB1YQL,1,`if hum ab qurbani karenge toh hamare bhavishya ke pitaa-pootra faida uthayege.,15.0,Gemma,English,ECT,2,1.0,"agar hum ab qurbani denge, toh hamare bhavishya ke bacche faida uthayege"
R_9J9FytFeHgBtWvt,1,`you still job khatam hone ke baad bhi Jobseeker Allowance liyega.,14.0,Gemma,English,ECT,1,1.0,Does not make sense to me
R_4DpdM0YPqPB1YQL,1,`you still job khatam hone ke baad bhi Jobseeker Allowance liyega.,14.0,Gemma,English,ECT,1,1.0,"tum job khatam hone ke baad bhi, Jobseeker Allowance logey?"
R_9J9FytFeHgBtWvt,1,"`Small chirdiya, gillihary and mice bne hain for the cat's diet.",12.0,Gemma,English,Matrix,2,2.0,
R_4DpdM0YPqPB1YQL,1,"`Small chirdiya, gillihary and mice bne hain for the cat's diet.",12.0,Gemma,English,Matrix,2,1.0,"chirdiya, gillihary aur chooha, bne hain for the cat's diet."
R_9J9FytFeHgBtWvt,1,"`Through it, sadasyata ka pratiasthan hota hai aur samaj ka physical maintenance sunischt hai.",17.0,Gemma,English,Matrix,1,1.0,The Hindi words are too complicated for me
R_4DpdM0YPqPB1YQL,1,"`Through it, sadasyata ka pratiasthan hota hai aur samaj ka physical maintenance sunischt hai.",17.0,Gemma,English,Matrix,1,1.0,
R_9J9FytFeHgBtWvt,1,`Long waali aarthik depression ke chalne se aadmi ko khatinaiyyaan degi.,21.0,Gemma,English,Matrix,1,1.0,
