sentence_text,original_row_index,List_Group,Condition,Direction,Source_File,Source_Type
Kal FF chahiye to aaj pay kar dena.,,1,English_Translation,Human_Ref,,Gold_Injection
abe teri tareef kiya ki tu musical instrument achche bajata hai,,1,English_Translation,Human_Ref,,Gold_Injection
tu apne manifesto ki chinta kar�,,1,English_Translation,Human_Ref,,Gold_Injection
"chunki maana jaata hai ki woh gareebon ke paax mein bolte hain, isliye unki aawaz zyada suni jaati hai. 
",1.0,1,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"Rajinder Singh Bedi kaafi-kaafi ghanta Vira ji ke sirahaane aakar baithte rahte aur Vira ji ke saath unki bimari ke vishay mein vinood karte rahte.  
",28.0,1,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"iskee madhyam se membership ka pratisthan tatha samaaj ka bhoothik anurakshan jaise hota hai.  
",17.0,1,final_gemma_baseline_hindi_src,Hin-Matrix,final_gemma_baseline_hindi_src.csv,
"bachchon se poochho apne bade logo se paas ke gaon ya shehar ke naam.  
",26.0,1,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"Moreover, he also gave Gandhi the permission to conduct the inquiry. 



",11.0,1,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"through it, membership is replaced aur society ka physical maintenance ho jata hai. 


",17.0,1,final_gemma_baseline_hindi_src,Eng-Matrix,final_gemma_baseline_hindi_src.csv,
"lekin sab logon ko abhi ye baat junchi nahi ki ekta ka matlab sirf rajneetik ekta nahi hai.  
",2.0,1,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"karmachari ke contract ki sammti par uski sevaan radd kar di gai.  
",8.0,1,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
"Bharat ka Bangla Desh ki seema mein 17,000 ekadere kshetrafal vale 111 parikshetron par daava hai.  
",27.0,1,final_gemma_ect_en_src,Hin-Matrix,final_gemma_ect_en_src.csv,
